fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol, quality
6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5
11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6
8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,8
8.5,0.28,0.35,1.7,0.061,6,15,0.99524,3.3,0.74,11.8,7
7.7,0.23,0.37,1.8,0.046,23,60,0.9971,3.41,0.71,12.1,6
7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,6
8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,7
10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,6
10.3,0.5,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5,6
10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,5
9,0.44,0.49,2.4,0.078,26,121,0.9978,3.23,0.58,9.2,5
7.3,0.74,0.08,1.7,0.094,10,45,0.99576,3.24,0.5,9.8,5
6.2,0.64,0.09,2.5,0.081,15,26,0.99538,3.57,0.63,12,5
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5
9.1,0.34,0.42,1.8,0.058,9,18,0.99392,3.18,0.55,11.4,5
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6
6.3,0.6,0.1,1.6,0.048,12,26,0.99306,3.55,0.51,12.1,5
8.8,0.44,0.49,2.8,0.083,18,111,0.9982,3.3,0.6,9.5,5
9.4,0.24,0.33,2.3,0.061,52,73,0.99786,3.47,0.9,10.2,6
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7
6.2,0.44,0.39,2.5,0.077,6,14,0.99555,3.51,0.69,11,6
6.4,0.31,0.09,1.4,0.066,15,28,0.99459,3.42,0.7,10,7
8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,6
7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,6
6,0.5,0.04,2.2,0.092,13,26,0.99647,3.46,0.47,10,5
6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5
7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,5
8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,6
8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,5
8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8,5
7.2,0.67,0,2.2,0.068,10,24,0.9956,3.42,0.72,11.1,6
10.7,0.9,0.34,6.6,0.112,23,99,1.00289,3.22,0.68,9.3,5
6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95,3
5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7
5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,8
8.9,0.48,0.24,2.85,0.094,35,106,0.9982,3.1,0.53,9.2,5
8.9,0.875,0.13,3.45,0.088,4,14,0.9994,3.44,0.52,11.5,5
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5
7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,5
8.6,0.635,0.68,1.8,0.403,19,56,0.99632,3.02,1.15,9.3,5
6.4,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5
7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,6
6.6,0.895,0.04,2.3,0.068,7,13,0.99582,3.53,0.58,10.8,6
5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,8
7.5,0.41,0.15,3.7,0.104,29,94,0.99786,3.14,0.58,9.1,5
7.1,0.16,0.44,2.5,0.068,17,31,0.99328,3.35,0.54,12.4,6
6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,6
8.3,0.3,0.49,3.8,0.09,11,24,0.99498,3.27,0.64,12.1,7
7.2,0.39,0.44,2.6,0.066,22,48,0.99494,3.3,0.84,11.5,6
7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,6
8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,6
8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,6
8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,6
6.9,0.58,0.01,1.9,0.08,40,54,0.99683,3.4,0.73,9.7,5
6.9,0.45,0.11,2.4,0.043,6,12,0.99354,3.3,0.65,11.4,6
13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,6
7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,5
10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10,6
6.7,0.48,0.02,2.2,0.08,36,111,0.99524,3.1,0.53,9.7,5
10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,8
7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,6
6.9,0.41,0.33,2.2,0.081,22,36,0.9949,3.41,0.75,11.1,6
7.8,0.5,0.12,1.8,0.178,6,21,0.996,3.28,0.87,9.8,6
7.9,0.2,0.35,1.7,0.054,7,15,0.99458,3.32,0.8,11.9,7
7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9,5
9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,5
7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,5
11.2,0.4,0.5,2,0.099,19,50,0.99783,3.1,0.58,10.4,5
6.6,0.725,0.2,7.8,0.073,29,79,0.9977,3.29,0.54,9.2,5
7.4,0.965,0,2.2,0.088,16,32,0.99756,3.58,0.67,10.2,5
6.9,0.54,0.3,2.2,0.088,9,105,0.99725,3.25,1.18,10.5,6
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6
7.3,0.67,0.05,3.6,0.107,6,20,0.9972,3.4,0.63,10.1,5
7,0.42,0.19,2.3,0.071,18,36,0.99476,3.39,0.56,10.9,5
7.9,0.54,0.34,2.5,0.076,8,17,0.99235,3.2,0.72,13.1,8
7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5
7.5,0.725,0.04,1.5,0.076,8,15,0.99508,3.26,0.53,9.6,5
11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,6
7.1,0.62,0.06,1.3,0.07,5,12,0.9942,3.17,0.48,9.8,5
6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,6
8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,5
7.4,0.74,0.07,1.7,0.086,15,48,0.99502,3.12,0.48,10,5
6.9,0.41,0.31,2,0.079,21,51,0.99668,3.47,0.55,9.5,6
7.2,0.25,0.37,2.5,0.063,11,41,0.99439,3.52,0.8,12.4,7
9.1,0.64,0.23,3.1,0.095,13,38,0.9998,3.28,0.59,9.7,5
6.8,0.48,0.08,1.8,0.074,40,64,0.99529,3.12,0.49,9.6,5
5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14,6
8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,7
9,0.54,0.49,2.9,0.094,41,110,0.9982,3.08,0.61,9.2,5
9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6
8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,6
8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5
6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,7
7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5
8.8,0.27,0.39,2,0.1,20,27,0.99546,3.15,0.69,11.2,6
8.2,0.26,0.34,2.5,0.073,16,47,0.99594,3.4,0.78,11.3,7
10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,0.74,10.5,7
7.1,0.22,0.49,1.8,0.039,8,18,0.99344,3.39,0.56,12.4,6
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5
6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5
8,0.31,0.45,2.1,0.216,5,16,0.99358,3.15,0.81,12.5,7
7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,5
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,5
6.1,0.59,0.01,2.1,0.056,5,13,0.99472,3.52,0.56,11.4,5
8.6,0.8,0.11,2.3,0.084,12,31,0.9979,3.4,0.48,9.9,5
8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5
5.4,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,6
5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,7
6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5
8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,6
6.6,0.8,0.03,7.8,0.079,6,12,0.9963,3.52,0.5,12.2,5
8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,5
7.1,0.27,0.6,2.1,0.074,17,25,0.99814,3.38,0.72,10.6,6
10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,5
8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6
8.9,0.75,0.14,2.5,0.086,9,30,0.99824,3.34,0.64,10.5,5
7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,5
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,4
7.7,0.64,0.21,2.2,0.077,32,133,0.9956,3.27,0.45,9.9,5
7,0.78,0.08,2,0.093,10,19,0.9956,3.4,0.47,10,5
7.1,0.69,0.08,2.1,0.063,42,52,0.99608,3.42,0.6,10.2,6
5.2,0.645,0,2.15,0.08,15,28,0.99444,3.78,0.61,12.5,6
8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6
11.1,0.39,0.54,2.7,0.095,21,101,1.0001,3.13,0.51,9.5,5
8.1,0.29,0.36,2.2,0.048,35,53,0.995,3.27,1.01,12.4,7
5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2,5
7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5
11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,6
6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,5
8.2,0.7,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4,5
8.3,0.53,0,1.4,0.07,6,14,0.99593,3.25,0.64,10,6
9.4,0.395,0.46,4.6,0.094,3,10,0.99639,3.27,0.64,12.2,7
6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,7
9.1,0.3,0.41,2,0.068,10,24,0.99523,3.27,0.85,11.7,7
7.2,0.57,0.06,1.6,0.076,9,27,0.9972,3.36,0.7,9.6,6
9.1,0.68,0.11,2.8,0.093,11,44,0.99888,3.31,0.55,9.5,6
7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,6
7.5,0.58,0.03,4.1,0.08,27,46,0.99592,3.02,0.47,9.2,5
7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7
9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5
7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,5
7,0.4,0.32,3.6,0.061,9,29,0.99416,3.28,0.49,11.3,7
7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,5
7.5,0.4,0.12,3,0.092,29,53,0.9967,3.37,0.7,10.3,6
7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,6
9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6
6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.25,6
7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,6
7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,5
11.7,0.28,0.47,1.7,0.054,17,32,0.99686,3.15,0.67,10.6,7
9.1,0.25,0.34,2,0.071,45,67,0.99769,3.44,0.86,10.2,7
7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,6
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5
7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,5
12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,5
7.7,0.6,0,2.6,0.055,7,13,0.99639,3.38,0.56,10.8,5
10.8,0.26,0.45,3.3,0.06,20,49,0.9972,3.13,0.54,9.6,5
8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7
7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,5
7.6,0.63,0.03,2,0.08,27,43,0.99578,3.44,0.64,10.9,6
7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,6
13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,6
8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,6
7.3,0.73,0.24,1.9,0.108,18,102,0.9967,3.26,0.59,9.3,5
10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,6
7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5
6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,6
10.4,0.38,0.46,2.1,0.104,6,10,0.99664,3.12,0.65,11.8,7
7.2,0.54,0.27,2.6,0.084,12,78,0.9964,3.39,0.71,11,5
8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,5
12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,6
8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5
7.6,0.43,0.4,2.7,0.082,6,11,0.99538,3.44,0.54,12.2,6
8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5,6
8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3,6
8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,5
5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,6
11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10,6
7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6
12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5,6
12.2,0.34,0.5,2.4,0.066,10,21,1,3.12,1.18,9.2,6
10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,6
9,0.4,0.41,2,0.058,15,40,0.99414,3.22,0.6,12.2,6
6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,5
7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,6
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7
5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5
7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7
10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3,4
7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,6
9.2,0.36,0.34,1.6,0.062,5,12,0.99667,3.2,0.67,10.5,6
8,0.6,0.08,2.6,0.056,3,7,0.99286,3.22,0.37,13,5
9.9,0.72,0.55,1.7,0.136,24,52,0.99752,3.35,0.94,10,5
7.2,0.34,0.24,2,0.071,30,52,0.99576,3.44,0.58,10.1,5
8,0.5,0.39,2.6,0.082,12,46,0.9985,3.43,0.62,10.7,6
11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6
8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1,6
5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,5
6.5,0.67,0,4.3,0.057,11,20,0.99488,3.45,0.56,11.8,4
8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,5
7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,6
8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,5
5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,7
5,1.04,0.24,1.6,0.05,32,96,0.9934,3.74,0.62,11.5,5
7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,5
7.1,0.67,0,2.3,0.083,18,27,0.99768,3.44,0.54,9.4,5
8.5,0.46,0.59,1.4,0.414,16,45,0.99702,3.03,1.34,9.2,5
10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,5
9.1,0.4,0.5,1.8,0.071,7,16,0.99462,3.21,0.69,12.5,8
8.7,0.41,0.41,6.2,0.078,25,42,0.9953,3.24,0.77,12.6,7
7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,7
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7
8.7,0.33,0.38,3.3,0.063,10,19,0.99468,3.3,0.73,12,7
7.2,0.63,0.03,2.2,0.08,17,88,0.99745,3.53,0.58,9.8,6
6.8,0.64,0.03,2.3,0.075,14,31,0.99545,3.36,0.58,10.4,6
7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,5
9.3,0.27,0.41,2,0.091,6,16,0.998,3.28,0.7,9.7,5
9.3,0.715,0.24,2.1,0.07,5,20,0.9966,3.12,0.59,9.9,5
7,0.64,0.02,2.1,0.067,9,23,0.997,3.47,0.67,9.4,6
11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1,7
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6
8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,6
8.2,0.74,0.09,2,0.067,5,10,0.99418,3.28,0.57,11.8,6
7.6,0.46,0.11,2.6,0.079,12,49,0.9968,3.21,0.57,10,5
7.9,0.29,0.49,2.2,0.096,21,59,0.99714,3.31,0.67,10.1,6
5.6,0.62,0.03,1.5,0.08,6,13,0.99498,3.66,0.62,10.1,4
10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,6
9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5
6.6,0.64,0.31,6.1,0.083,7,49,0.99718,3.35,0.68,10.3,5
6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,5
7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,5
7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,5
9,0.36,0.52,2.1,0.111,5,10,0.99568,3.31,0.62,11.3,6
6.4,0.42,0.09,2.3,0.054,34,64,0.99724,3.41,0.68,10.4,6
9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,5
7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.6,6
8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,5
9.3,0.41,0.39,2.2,0.064,12,31,0.9984,3.26,0.65,10.2,5
9.2,0.43,0.49,2.4,0.086,23,116,0.9976,3.23,0.64,9.5,5
7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,7
12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,5
6.4,0.57,0.14,3.9,0.07,27,73,0.99669,3.32,0.48,9.2,5
8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,6
8.6,0.63,0.17,2.9,0.099,21,119,0.998,3.09,0.52,9.3,5
6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,5
6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,6
10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,6
12.5,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,7
7.3,0.91,0.1,1.8,0.074,20,56,0.99672,3.35,0.56,9.2,5
9.6,0.54,0.42,2.4,0.081,25,52,0.997,3.2,0.71,11.4,6
6,0.42,0.19,2,0.075,22,47,0.99522,3.39,0.78,10,6
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6
